reform_id,country,year,reform_name,category,cli_score,cli_tv,cli_ja,cli_th,cli_pw,cli_ad,outcome,success,public_support,poll_n,key_blocker,legal_challenges,estimated_impact,domain
CHL005,Chile,2014,Tax reform (corporate rate increase),Tax,0.81,0.88,0.82,0.75,0.68,0.78,Partial,0.5,47,3200,Business resistance,12,Revenue increase,Tax policy
CHL006,Chile,2017,Abortion decriminalization,Social,0.81,0.88,0.82,0.75,0.68,0.78,Succeeded,1,62,4600,TC narrow ruling,5,Reproductive rights,Social policy
MEX001,Mexico,2019,Labor justice reform,Labor,0.58,0.62,0.65,0.55,0.48,0.58,Succeeded,1,58,5400,USMCA pressure,8,Independent labor tribunals,Labor rights
MEX002,Mexico,2020,Pension reform (IMSS),Pensions,0.58,0.62,0.65,0.55,0.48,0.58,Succeeded,1,52,4200,Legislative support,3,Individual accounts expansion,Social security
MEX003,Mexico,2013,Energy reform (oil sector opening),Economic,0.58,0.62,0.65,0.55,0.48,0.58,Succeeded,1,45,6800,Constitutional amendment,15,Private investment,Economic policy
MEX004,Mexico,2021,Electricity sector counter-reform,Economic,0.58,0.62,0.65,0.55,0.48,0.58,Partial,0.5,41,4700,SCJN intervention,22,State control restoration,Economic policy
MEX005,Mexico,2014,Fiscal responsibility law,Fiscal,0.58,0.62,0.65,0.55,0.48,0.58,Succeeded,1,48,3500,Fiscal discipline,2,Deficit control,Fiscal policy
MEX006,Mexico,2019,National Guard creation,Institutional,0.58,0.62,0.65,0.55,0.48,0.58,Succeeded,1,71,7200,Security crisis,5,Militarized policing,Security policy
PRT001,Portugal,2012,Labor Code flexibility reforms,Labor,0.38,0.32,0.42,0.38,0.28,0.55,Succeeded,1,36,2800,TC narrow Art. 288 interpretation,8,Austerity measure,Labor market
PRT002,Portugal,2013,Public sector wage cuts,Fiscal,0.38,0.32,0.42,0.38,0.28,0.55,Partial,0.5,28,2200,TC proportionality review,12,Troika conditions,Fiscal policy
PRT003,Portugal,2014,Pension cuts (TC rejection),Pensions,0.38,0.32,0.42,0.38,0.28,0.55,Failed,0,42,1900,TC equality doctrine,15,Pension sustainability,Social security
PRT004,Portugal,2019,Labor law restoration,Labor,0.38,0.32,0.42,0.38,0.28,0.55,Succeeded,1,64,3100,Post-austerity shift,2,Worker protections,Labor rights
PRT005,Portugal,2016,Bank resolution mechanism,Economic,0.38,0.32,0.42,0.38,0.28,0.55,Succeeded,1,45,2400,Financial stability,5,Banking regulation,Economic policy
PRT006,Portugal,2021,Minimum wage increase,Labor,0.38,0.32,0.42,0.38,0.28,0.55,Succeeded,1,78,3800,Legislative support,0,Income policy,Labor policy
GRC001,Greece,2010,Pension cuts (first memorandum),Pensions,0.49,0.52,0.48,0.45,0.42,0.62,Succeeded,1,24,4200,Troika conditionality,8,Fiscal consolidation,Social security
GRC002,Greece,2012,Labor market deregulation,Labor,0.49,0.52,0.48,0.45,0.42,0.62,Succeeded,1,31,3800,Troika pressure,12,Collective bargaining reform,Labor market
GRC003,Greece,2013,Public sector layoffs,Fiscal,0.49,0.52,0.48,0.45,0.42,0.62,Succeeded,1,19,2900,Memorandum compliance,18,Civil service reduction,Fiscal policy
GRC004,Greece,2015,Referendum rejection of bailout,Institutional,0.49,0.52,0.48,0.45,0.42,0.62,Failed,0,61,5200,EU pressure override,0,Debt restructuring,Economic policy
GRC005,Greece,2016,Pension re-reform,Pensions,0.49,0.52,0.48,0.45,0.42,0.62,Succeeded,1,28,3100,Creditor demands,8,Pension sustainability,Social security
GRC006,Greece,2019,Labor law counter-reform,Labor,0.49,0.52,0.48,0.45,0.42,0.62,Partial,0.5,52,3600,ND government,5,Protections restoration,Labor rights
NZL001,New Zealand,1991,Employment Contracts Act,Labor,0.23,0.18,0.22,0.15,0.28,0.35,Succeeded,1,43,2400,No entrenched rights,2,Union deregulation,Labor market
NZL002,New Zealand,2001,Superannuation means testing proposal,Pensions,0.23,0.18,0.22,0.15,0.28,0.35,Failed,0,35,1800,Referendum rejection,0,Pension universality,Social security
NZL003,New Zealand,2010,Partial asset sales,Economic,0.23,0.18,0.22,0.15,0.28,0.35,Succeeded,1,41,2100,Parliamentary sovereignty,0,State enterprise privatization,Economic policy
NZL004,New Zealand,2017,Zero Carbon Act,Environmental,0.23,0.18,0.22,0.15,0.28,0.35,Succeeded,1,78,3200,Cross-party support,0,Climate targets,Environmental policy
NZL005,New Zealand,2020,Cannabis referendum,Social,0.23,0.18,0.22,0.15,0.28,0.35,Failed,0,49,2800,Referendum rejection,0,Drug policy reform,Social policy
NZL006,New Zealand,2021,Income tax threshold adjustment,Tax,0.23,0.18,0.22,0.15,0.28,0.35,Succeeded,1,65,2500,No constitutional barriers,0,Progressive taxation,Tax policy
